DateTime,Zone 1 Power Consumption,Zone 2  Power Consumption,Zone 3  Power Consumption
2017-01-02 05:30:00,nan,13834.65046,nan
2017-01-02 05:40:00,21041.01266,nan,nan
2017-01-02 05:50:00,21709.36709,nan,nan
2017-01-02 06:00:00,22742.27848,nan,14868.43373
2017-01-02 06:10:00,nan,14961.70213,14729.63855
2017-01-02 06:20:00,23258.73418,15176.8997,14712.28916
2017-01-02 06:30:00,23471.39241,15545.28875,14619.75904
2017-01-02 06:40:00,nan,15749.54407,14573.49398
2017-01-02 06:50:00,23769.11392,nan,nan
2017-01-02 07:00:00,23380.25316,15607.29483,14400.0
